Country Name,Indicator Name,Year,Value
Post-demographic dividend,全癌死亡率,1967,11
Pre-demographic dividend,全癌死亡率,1967,7
Small states,全癌死亡率,1967,3
Sub-Saharan Africa,全癌死亡率,1967,7
Sub-Saharan Africa (excluding high income),全癌死亡率,1967,14
Sub-Saharan Africa (IDA & IBRD countries),全癌死亡率,1967,12
World,全癌死亡率,1967,12
Afghanistan,全癌死亡率,1967,10
Albania,全癌死亡率,1967,11
American Samoa,全癌死亡率,1967,10
Andorra,全癌死亡率,1967,7
Angola,全癌死亡率,1967,14
Antigua and Barbuda,全癌死亡率,1967,4
Armenia,全癌死亡率,1967,3
Aruba,全癌死亡率,1967,15
Australia,全癌死亡率,1967,15
Austria,全癌死亡率,1967,6
Azerbaijan,全癌死亡率,1967,4
"Bahamas, The",全癌死亡率,1967,6
Bahrain,全癌死亡率,1967,7
Barbados,全癌死亡率,1967,8
Belarus,全癌死亡率,1967,7
Belgium,全癌死亡率,1967,10
Belize,全癌死亡率,1967,3
Bermuda,全癌死亡率,1967,10
Bhutan,全癌死亡率,1967,12
Bolivia,全癌死亡率,1967,15
Bosnia and Herzegovina,全癌死亡率,1967,3
Botswana,全癌死亡率,1967,15
British Virgin Islands,全癌死亡率,1967,4
Brunei Darussalam,全癌死亡率,1967,15
Bulgaria,全癌死亡率,1967,5
Burundi,全癌死亡率,1967,14
Cabo Verde,全癌死亡率,1967,4
Cambodia,全癌死亡率,1967,3
Canada,全癌死亡率,1967,10
Cayman Islands,全癌死亡率,1967,8
Channel Islands,全癌死亡率,1967,6
Comoros,全癌死亡率,1967,12
Costa Rica,全癌死亡率,1967,13
Croatia,全癌死亡率,1967,7
Cuba,全癌死亡率,1967,6
Curacao,全癌死亡率,1967,14
Cyprus,全癌死亡率,1967,13
Czech Republic,全癌死亡率,1967,14
Denmark,全癌死亡率,1967,8
Djibouti,全癌死亡率,1967,12
Dominica,全癌死亡率,1967,14
El Salvador,全癌死亡率,1967,9
Equatorial Guinea,全癌死亡率,1967,10
Eritrea,全癌死亡率,1967,8
Estonia,全癌死亡率,1967,12
Ethiopia,全癌死亡率,1967,12
Faroe Islands,全癌死亡率,1967,9
Finland,全癌死亡率,1967,10
French Polynesia,全癌死亡率,1967,10
Gabon,全癌死亡率,1967,12
"Gambia, The",全癌死亡率,1967,5
Georgia,全癌死亡率,1967,15
Germany,全癌死亡率,1967,6
Gibraltar,全癌死亡率,1967,12
Greece,全癌死亡率,1967,9
Greenland,全癌死亡率,1967,15
Grenada,全癌死亡率,1967,4
Guam,全癌死亡率,1967,7
Guatemala,全癌死亡率,1967,13
Guinea,全癌死亡率,1967,10
Guinea-Bissau,全癌死亡率,1967,11
Haiti,全癌死亡率,1967,6
"Hong Kong SAR, China",全癌死亡率,1967,4
Hungary,全癌死亡率,1967,3
Iceland,全癌死亡率,1967,4
Iraq,全癌死亡率,1967,11
Ireland,全癌死亡率,1967,7
Isle of Man,全癌死亡率,1967,11
Israel,全癌死亡率,1967,10
Italy,全癌死亡率,1967,5
Jamaica,全癌死亡率,1967,14
Japan,全癌死亡率,1967,14
Kazakhstan,全癌死亡率,1967,9
Kiribati,全癌死亡率,1967,9
"Korea, Dem. People嚙編 Rep.",全癌死亡率,1967,4
Kosovo,全癌死亡率,1967,12
Kuwait,全癌死亡率,1967,14
Kyrgyz Republic,全癌死亡率,1967,10
Lao PDR,全癌死亡率,1967,6
Latvia,全癌死亡率,1967,4
Lebanon,全癌死亡率,1967,11
Liberia,全癌死亡率,1967,13
Libya,全癌死亡率,1967,10
Liechtenstein,全癌死亡率,1967,5
Lithuania,全癌死亡率,1967,10
Luxembourg,全癌死亡率,1967,11
"Macao SAR, China",全癌死亡率,1967,5
"Macedonia, FYR",全癌死亡率,1967,12
Maldives,全癌死亡率,1967,6
Malta,全癌死亡率,1967,14
Marshall Islands,全癌死亡率,1967,9
Mauritius,全癌死亡率,1967,3
"Micronesia, Fed. Sts.",全癌死亡率,1967,8
Moldova,全癌死亡率,1967,5
Monaco,全癌死亡率,1967,9
Mongolia,全癌死亡率,1967,13
Montenegro,全癌死亡率,1967,12
Morocco,全癌死亡率,1967,14
Mozambique,全癌死亡率,1967,9
Myanmar,全癌死亡率,1967,10
Namibia,全癌死亡率,1967,13
Nauru,全癌死亡率,1967,4
Netherlands,全癌死亡率,1967,3
New Caledonia,全癌死亡率,1967,9
New Zealand,全癌死亡率,1967,12
Nicaragua,全癌死亡率,1967,4
Nigeria,全癌死亡率,1967,4
Northern Mariana Islands,全癌死亡率,1967,4
Norway,全癌死亡率,1967,3
Palau,全癌死亡率,1967,4
Panama,全癌死亡率,1967,3
Paraguay,全癌死亡率,1967,15
Poland,全癌死亡率,1967,10
Portugal,全癌死亡率,1967,15
Puerto Rico,全癌死亡率,1967,13
Qatar,全癌死亡率,1967,6
Romania,全癌死亡率,1967,10
Russian Federation,全癌死亡率,1967,3
Samoa,全癌死亡率,1967,13
San Marino,全癌死亡率,1967,13
Sao Tome and Principe,全癌死亡率,1967,4
Saudi Arabia,全癌死亡率,1967,7
Senegal,全癌死亡率,1967,11
Serbia,全癌死亡率,1967,10
Seychelles,全癌死亡率,1967,6
Singapore,全癌死亡率,1967,10
Sint Maarten (Dutch part),全癌死亡率,1967,15
Slovak Republic,全癌死亡率,1967,8
Slovenia,全癌死亡率,1967,4
Solomon Islands,全癌死亡率,1967,5
South Sudan,全癌死亡率,1967,9
Spain,全癌死亡率,1967,3
Sri Lanka,全癌死亡率,1967,4
St. Kitts and Nevis,全癌死亡率,1967,13
St. Lucia,全癌死亡率,1967,3
St. Martin (French part),全癌死亡率,1967,3
St. Vincent and the Grenadines,全癌死亡率,1967,4
Sweden,全癌死亡率,1967,14
Switzerland,全癌死亡率,1967,8
Syrian Arab Republic,全癌死亡率,1967,7
Tajikistan,全癌死亡率,1967,11
Tanzania,全癌死亡率,1967,7
Timor-Leste,全癌死亡率,1967,11
Tonga,全癌死亡率,1967,7
Trinidad and Tobago,全癌死亡率,1967,10
Turkmenistan,全癌死亡率,1967,10
Turks and Caicos Islands,全癌死亡率,1967,7
Tuvalu,全癌死亡率,1967,3
Ukraine,全癌死亡率,1967,9
United Arab Emirates,全癌死亡率,1967,5
United Kingdom,全癌死亡率,1967,7
United States,全癌死亡率,1967,13
Uruguay,全癌死亡率,1967,11
Uzbekistan,全癌死亡率,1967,15
Vanuatu,全癌死亡率,1967,3
Vietnam,全癌死亡率,1967,4
Virgin Islands,全癌死亡率,1967,6
West Bank and Gaza,全癌死亡率,1967,13
"Yemen, Rep.",全癌死亡率,1967,8
Arab World,全癌死亡率,1972,4
Caribbean small states,全癌死亡率,1972,12
Central Europe and the Baltics,全癌死亡率,1972,15
Euro area,全癌死亡率,1972,3
Europe & Central Asia,全癌死亡率,1972,6
Europe & Central Asia (excluding high income),全癌死亡率,1972,4
Europe & Central Asia (IDA & IBRD countries),全癌死亡率,1972,7
European Union,全癌死亡率,1972,13
Fragile and conflict affected situations,全癌死亡率,1972,14
High income,全癌死亡率,1972,12
IDA blend,全癌死亡率,1972,14
IDA only,全癌死亡率,1972,15
IDA total,全癌死亡率,1972,13
Least developed countries: UN classification,全癌死亡率,1972,4
Low income,全癌死亡率,1972,7
Middle East & North Africa,全癌死亡率,1972,6
Middle East & North Africa (excluding high income),全癌死亡率,1972,15
North America,全癌死亡率,1972,4
Not classified,全癌死亡率,1972,5
OECD members,全癌死亡率,1972,14
Other small states,全癌死亡率,1972,4
Pacific island small states,全癌死亡率,1972,5
Post-demographic dividend,全癌死亡率,1972,13
Pre-demographic dividend,全癌死亡率,1972,13
Small states,全癌死亡率,1972,13
Sub-Saharan Africa,全癌死亡率,1972,4
Sub-Saharan Africa (excluding high income),全癌死亡率,1972,9
Sub-Saharan Africa (IDA & IBRD countries),全癌死亡率,1972,5
World,全癌死亡率,1972,8
Afghanistan,全癌死亡率,1972,3
Albania,全癌死亡率,1972,3
American Samoa,全癌死亡率,1972,9
Andorra,全癌死亡率,1972,7
Angola,全癌死亡率,1972,8
Antigua and Barbuda,全癌死亡率,1972,9
Armenia,全癌死亡率,1972,5
Aruba,全癌死亡率,1972,10
Austria,全癌死亡率,1972,14
Azerbaijan,全癌死亡率,1972,10
"Bahamas, The",全癌死亡率,1972,12
Bahrain,全癌死亡率,1972,9
Barbados,全癌死亡率,1972,13
Belarus,全癌死亡率,1972,11
Belgium,全癌死亡率,1972,7
Belize,全癌死亡率,1972,15
Bermuda,全癌死亡率,1972,13
Bhutan,全癌死亡率,1972,5
Bosnia and Herzegovina,全癌死亡率,1972,5
Botswana,全癌死亡率,1972,7
British Virgin Islands,全癌死亡率,1972,5
Brunei Darussalam,全癌死亡率,1972,8
Bulgaria,全癌死亡率,1972,6
Cabo Verde,全癌死亡率,1972,4
Cambodia,全癌死亡率,1972,9
Canada,全癌死亡率,1972,14
Cayman Islands,全癌死亡率,1972,3
Channel Islands,全癌死亡率,1972,7
Comoros,全癌死亡率,1972,12
Costa Rica,全癌死亡率,1972,4
Croatia,全癌死亡率,1972,4
Curacao,全癌死亡率,1972,8
Cyprus,全癌死亡率,1972,6
Czech Republic,全癌死亡率,1972,12
Denmark,全癌死亡率,1972,15
Djibouti,全癌死亡率,1972,5
Dominica,全癌死亡率,1972,12
El Salvador,全癌死亡率,1972,9
Equatorial Guinea,全癌死亡率,1972,4
Eritrea,全癌死亡率,1972,7
Estonia,全癌死亡率,1972,4
Ethiopia,全癌死亡率,1972,7
Faroe Islands,全癌死亡率,1972,8
Finland,全癌死亡率,1972,15
French Polynesia,全癌死亡率,1972,14
Gabon,全癌死亡率,1972,5
"Gambia, The",全癌死亡率,1972,5
Georgia,全癌死亡率,1972,9
Germany,全癌死亡率,1972,5
Gibraltar,全癌死亡率,1972,9
Greece,全癌死亡率,1972,8
Greenland,全癌死亡率,1972,15
Grenada,全癌死亡率,1972,10
Guam,全癌死亡率,1972,3
Guatemala,全癌死亡率,1972,6
Guinea,全癌死亡率,1972,10
Haiti,全癌死亡率,1972,4
"Hong Kong SAR, China",全癌死亡率,1972,4
Hungary,全癌死亡率,1972,4
Iceland,全癌死亡率,1972,15
Iraq,全癌死亡率,1972,4
Ireland,全癌死亡率,1972,13
Isle of Man,全癌死亡率,1972,15
Israel,全癌死亡率,1972,11
Italy,全癌死亡率,1972,15
Jamaica,全癌死亡率,1972,8
Kazakhstan,全癌死亡率,1972,4
Kiribati,全癌死亡率,1972,6
"Korea, Dem. People嚙編 Rep.",全癌死亡率,1972,11
Kosovo,全癌死亡率,1972,12
Kuwait,全癌死亡率,1972,3
Kyrgyz Republic,全癌死亡率,1972,11
Lao PDR,全癌死亡率,1972,7
Latvia,全癌死亡率,1972,13
Lebanon,全癌死亡率,1972,9
Liberia,全癌死亡率,1972,14
Libya,全癌死亡率,1972,5
Liechtenstein,全癌死亡率,1972,10
Lithuania,全癌死亡率,1972,3
Luxembourg,全癌死亡率,1972,12
"Macao SAR, China",全癌死亡率,1972,11
"Macedonia, FYR",全癌死亡率,1972,12
Maldives,全癌死亡率,1972,11
Marshall Islands,全癌死亡率,1972,10
Mauritius,全癌死亡率,1972,7
"Micronesia, Fed. Sts.",全癌死亡率,1972,7
Moldova,全癌死亡率,1972,10
Monaco,全癌死亡率,1972,6
Mongolia,全癌死亡率,1972,15
Montenegro,全癌死亡率,1972,3
Morocco,全癌死亡率,1972,6
Mozambique,全癌死亡率,1972,6
Myanmar,全癌死亡率,1972,9
Namibia,全癌死亡率,1972,6
Nauru,全癌死亡率,1972,12
New Caledonia,全癌死亡率,1972,15
Nicaragua,全癌死亡率,1972,3
Nigeria,全癌死亡率,1972,8
Northern Mariana Islands,全癌死亡率,1972,13
Palau,全癌死亡率,1972,10
Paraguay,全癌死亡率,1972,14
Poland,全癌死亡率,1972,5
Portugal,全癌死亡率,1972,5
Qatar,全癌死亡率,1972,15
Romania,全癌死亡率,1972,3
Russian Federation,全癌死亡率,1972,6
Samoa,全癌死亡率,1972,11
San Marino,全癌死亡率,1972,12
Sao Tome and Principe,全癌死亡率,1972,7
Senegal,全癌死亡率,1972,8
Serbia,全癌死亡率,1972,8
Seychelles,全癌死亡率,1972,6
Singapore,全癌死亡率,1972,14
Sint Maarten (Dutch part),全癌死亡率,1972,12
Slovak Republic,全癌死亡率,1972,10
Slovenia,全癌死亡率,1972,7
Solomon Islands,全癌死亡率,1972,6
South Sudan,全癌死亡率,1972,15
Spain,全癌死亡率,1972,8
Sri Lanka,全癌死亡率,1972,15
St. Kitts and Nevis,全癌死亡率,1972,3
St. Lucia,全癌死亡率,1972,6
St. Martin (French part),全癌死亡率,1972,3
St. Vincent and the Grenadines,全癌死亡率,1972,8
Sweden,全癌死亡率,1972,14
Switzerland,全癌死亡率,1972,15
Syrian Arab Republic,全癌死亡率,1972,13
Tajikistan,全癌死亡率,1972,8
Tanzania,全癌死亡率,1972,14
Timor-Leste,全癌死亡率,1972,11
Tonga,全癌死亡率,1972,6
Trinidad and Tobago,全癌死亡率,1972,6
Turkmenistan,全癌死亡率,1972,4
Turks and Caicos Islands,全癌死亡率,1972,7
Tuvalu,全癌死亡率,1972,7
Ukraine,全癌死亡率,1972,7
United Arab Emirates,全癌死亡率,1972,13
United Kingdom,全癌死亡率,1972,12
United States,全癌死亡率,1972,13
Uruguay,全癌死亡率,1972,15
Uzbekistan,全癌死亡率,1972,11
Vanuatu,全癌死亡率,1972,3
Vietnam,全癌死亡率,1972,7
Virgin Islands,全癌死亡率,1972,14
West Bank and Gaza,全癌死亡率,1972,5
"Yemen, Rep.",全癌死亡率,1972,7
Arab World,全癌死亡率,1977,14
Caribbean small states,全癌死亡率,1977,10
Central Europe and the Baltics,全癌死亡率,1977,13
Euro area,全癌死亡率,1977,8
Europe & Central Asia,全癌死亡率,1977,3
Europe & Central Asia (excluding high income),全癌死亡率,1977,8
Europe & Central Asia (IDA & IBRD countries),全癌死亡率,1977,13
European Union,全癌死亡率,1977,8
Fragile and conflict affected situations,全癌死亡率,1977,15
High income,全癌死亡率,1977,5
IDA blend,全癌死亡率,1977,8
IDA only,全癌死亡率,1977,10
IDA total,全癌死亡率,1977,10
Least developed countries: UN classification,全癌死亡率,1977,7
Low income,全癌死亡率,1977,4
Middle East & North Africa,全癌死亡率,1977,13
Middle East & North Africa (excluding high income),全癌死亡率,1977,15
North America,全癌死亡率,1977,6
Not classified,全癌死亡率,1977,4
OECD members,全癌死亡率,1977,9
Other small states,全癌死亡率,1977,3
Pacific island small states,全癌死亡率,1977,8
Post-demographic dividend,全癌死亡率,1977,3
Pre-demographic dividend,全癌死亡率,1977,3
Small states,全癌死亡率,1977,15
Sub-Saharan Africa,全癌死亡率,1977,7
Sub-Saharan Africa (excluding high income),全癌死亡率,1977,3
Sub-Saharan Africa (IDA & IBRD countries),全癌死亡率,1977,12
World,全癌死亡率,1977,15
Afghanistan,全癌死亡率,1977,4
Albania,全癌死亡率,1977,10
American Samoa,全癌死亡率,1977,3
Andorra,全癌死亡率,1977,9
Angola,全癌死亡率,1977,10
Armenia,全癌死亡率,1977,5
Aruba,全癌死亡率,1977,8
Azerbaijan,全癌死亡率,1977,9
"Bahamas, The",全癌死亡率,1977,12
Bahrain,全癌死亡率,1977,10
Barbados,全癌死亡率,1977,14
Belarus,全癌死亡率,1977,11
Belgium,全癌死亡率,1977,13
Belize,全癌死亡率,1977,6
Bermuda,全癌死亡率,1977,7
Bhutan,全癌死亡率,1977,4
Bosnia and Herzegovina,全癌死亡率,1977,15
British Virgin Islands,全癌死亡率,1977,7
Bulgaria,全癌死亡率,1977,9
Cabo Verde,全癌死亡率,1977,14
Cambodia,全癌死亡率,1977,3
Canada,全癌死亡率,1977,5
Cayman Islands,全癌死亡率,1977,7
Channel Islands,全癌死亡率,1977,9
Comoros,全癌死亡率,1977,7
Costa Rica,全癌死亡率,1977,10
Croatia,全癌死亡率,1977,6
Curacao,全癌死亡率,1977,5
Czech Republic,全癌死亡率,1977,10
Denmark,全癌死亡率,1977,10
Djibouti,全癌死亡率,1977,11
El Salvador,全癌死亡率,1977,15
Equatorial Guinea,全癌死亡率,1977,10
Eritrea,全癌死亡率,1977,5
Estonia,全癌死亡率,1977,13
Ethiopia,全癌死亡率,1977,9
Faroe Islands,全癌死亡率,1977,12
French Polynesia,全癌死亡率,1977,7
Gabon,全癌死亡率,1977,12
"Gambia, The",全癌死亡率,1977,8
Georgia,全癌死亡率,1977,13
Germany,全癌死亡率,1977,7
Gibraltar,全癌死亡率,1977,10
Greece,全癌死亡率,1977,14
Greenland,全癌死亡率,1977,11
Guam,全癌死亡率,1977,3
Guatemala,全癌死亡率,1977,5
Guinea,全癌死亡率,1977,3
Haiti,全癌死亡率,1977,13
"Hong Kong SAR, China",全癌死亡率,1977,12
Hungary,全癌死亡率,1977,6
Iceland,全癌死亡率,1977,9
Iraq,全癌死亡率,1977,5
Ireland,全癌死亡率,1977,11
Isle of Man,全癌死亡率,1977,9
Israel,全癌死亡率,1977,7
Italy,全癌死亡率,1977,13
Jamaica,全癌死亡率,1977,12
Kazakhstan,全癌死亡率,1977,15
Kiribati,全癌死亡率,1977,5
"Korea, Dem. People嚙編 Rep.",全癌死亡率,1977,7
Kosovo,全癌死亡率,1977,12
Kuwait,全癌死亡率,1977,3
Kyrgyz Republic,全癌死亡率,1977,10
Lao PDR,全癌死亡率,1977,9
Latvia,全癌死亡率,1977,5
Lebanon,全癌死亡率,1977,3
Liberia,全癌死亡率,1977,7
Libya,全癌死亡率,1977,13
Liechtenstein,全癌死亡率,1977,10
Lithuania,全癌死亡率,1977,9
Luxembourg,全癌死亡率,1977,4
"Macao SAR, China",全癌死亡率,1977,9
"Macedonia, FYR",全癌死亡率,1977,6
Maldives,全癌死亡率,1977,10
Marshall Islands,全癌死亡率,1977,6
"Micronesia, Fed. Sts.",全癌死亡率,1977,3
Moldova,全癌死亡率,1977,7
Monaco,全癌死亡率,1977,12
Mongolia,全癌死亡率,1977,14
Montenegro,全癌死亡率,1977,3
Morocco,全癌死亡率,1977,12
Mozambique,全癌死亡率,1977,4
Myanmar,全癌死亡率,1977,10
Namibia,全癌死亡率,1977,4
Nauru,全癌死亡率,1977,5
New Caledonia,全癌死亡率,1977,10
Nicaragua,全癌死亡率,1977,11
Nigeria,全癌死亡率,1977,8
Northern Mariana Islands,全癌死亡率,1977,8
Palau,全癌死亡率,1977,7
Paraguay,全癌死亡率,1977,15
Poland,全癌死亡率,1977,13
Portugal,全癌死亡率,1977,13
Qatar,全癌死亡率,1977,11
Romania,全癌死亡率,1977,4
Russian Federation,全癌死亡率,1977,6
Samoa,全癌死亡率,1977,5
San Marino,全癌死亡率,1977,13
Sao Tome and Principe,全癌死亡率,1977,7
Senegal,全癌死亡率,1977,13
Serbia,全癌死亡率,1977,14
Sint Maarten (Dutch part),全癌死亡率,1977,11
Slovak Republic,全癌死亡率,1977,6
Slovenia,全癌死亡率,1977,13
Solomon Islands,全癌死亡率,1977,8
South Sudan,全癌死亡率,1977,13
Spain,全癌死亡率,1977,15
Sri Lanka,全癌死亡率,1977,5
St. Lucia,全癌死亡率,1977,8
St. Martin (French part),全癌死亡率,1977,4
Sweden,全癌死亡率,1977,8
Switzerland,全癌死亡率,1977,9
Syrian Arab Republic,全癌死亡率,1977,12
Tajikistan,全癌死亡率,1977,5
Tanzania,全癌死亡率,1977,10
Timor-Leste,全癌死亡率,1977,9
Trinidad and Tobago,全癌死亡率,1977,9
Turkmenistan,全癌死亡率,1977,7
Turks and Caicos Islands,全癌死亡率,1977,5
Tuvalu,全癌死亡率,1977,9
Ukraine,全癌死亡率,1977,12
United Arab Emirates,全癌死亡率,1977,10
United Kingdom,全癌死亡率,1977,13
United States,全癌死亡率,1977,5
Uruguay,全癌死亡率,1977,15
Uzbekistan,全癌死亡率,1977,14
Vanuatu,全癌死亡率,1977,6
Vietnam,全癌死亡率,1977,6
Virgin Islands,全癌死亡率,1977,3
West Bank and Gaza,全癌死亡率,1977,4
"Yemen, Rep.",全癌死亡率,1977,6
Arab World,全癌死亡率,1982,8
Caribbean small states,全癌死亡率,1982,8
Central Europe and the Baltics,全癌死亡率,1982,14
Euro area,全癌死亡率,1982,8
Europe & Central Asia,全癌死亡率,1982,13
Europe & Central Asia (excluding high income),全癌死亡率,1982,6
Europe & Central Asia (IDA & IBRD countries),全癌死亡率,1982,14
European Union,全癌死亡率,1982,4
Fragile and conflict affected situations,全癌死亡率,1982,13
High income,全癌死亡率,1982,14
IDA only,全癌死亡率,1982,5
Least developed countries: UN classification,全癌死亡率,1982,14
Middle East & North Africa,全癌死亡率,1982,6
North America,全癌死亡率,1982,6
Not classified,全癌死亡率,1982,13
OECD members,全癌死亡率,1982,4
Other small states,全癌死亡率,1982,11
Post-demographic dividend,全癌死亡率,1982,10
Pre-demographic dividend,全癌死亡率,1982,5
Small states,全癌死亡率,1982,7
World,全癌死亡率,1982,13
Afghanistan,全癌死亡率,1982,14
American Samoa,全癌死亡率,1982,8
Andorra,全癌死亡率,1982,11
Angola,全癌死亡率,1982,11
Armenia,全癌死亡率,1982,4
Aruba,全癌死亡率,1982,13
Azerbaijan,全癌死亡率,1982,15
"Bahamas, The",全癌死亡率,1982,14
Barbados,全癌死亡率,1982,6
Belarus,全癌死亡率,1982,14
Belgium,全癌死亡率,1982,15
Bermuda,全癌死亡率,1982,12
Bosnia and Herzegovina,全癌死亡率,1982,9
British Virgin Islands,全癌死亡率,1982,11
Cambodia,全癌死亡率,1982,4
Canada,全癌死亡率,1982,7
Cayman Islands,全癌死亡率,1982,13
Channel Islands,全癌死亡率,1982,4
Costa Rica,全癌死亡率,1982,14
Croatia,全癌死亡率,1982,3
Curacao,全癌死亡率,1982,6
Czech Republic,全癌死亡率,1982,3
Denmark,全癌死亡率,1982,7
Djibouti,全癌死亡率,1982,6
El Salvador,全癌死亡率,1982,10
Equatorial Guinea,全癌死亡率,1982,3
Eritrea,全癌死亡率,1982,8
Estonia,全癌死亡率,1982,7
Faroe Islands,全癌死亡率,1982,11
French Polynesia,全癌死亡率,1982,15
Gabon,全癌死亡率,1982,9
"Gambia, The",全癌死亡率,1982,12
Germany,全癌死亡率,1982,14
Gibraltar,全癌死亡率,1982,9
Greece,全癌死亡率,1982,8
Greenland,全癌死亡率,1982,8
Guam,全癌死亡率,1982,8
Guatemala,全癌死亡率,1982,14
Guinea,全癌死亡率,1982,12
Haiti,全癌死亡率,1982,6
"Hong Kong SAR, China",全癌死亡率,1982,7
Hungary,全癌死亡率,1982,7
Iceland,全癌死亡率,1982,14
Iraq,全癌死亡率,1982,15
Ireland,全癌死亡率,1982,12
Isle of Man,全癌死亡率,1982,6
Israel,全癌死亡率,1982,15
Italy,全癌死亡率,1982,10
Jamaica,全癌死亡率,1982,11
Kazakhstan,全癌死亡率,1982,14
"Korea, Dem. People嚙編 Rep.",全癌死亡率,1982,5
Kosovo,全癌死亡率,1982,14
Kuwait,全癌死亡率,1982,4
Kyrgyz Republic,全癌死亡率,1982,7
Lao PDR,全癌死亡率,1982,7
Latvia,全癌死亡率,1982,15
Lebanon,全癌死亡率,1982,5
Liberia,全癌死亡率,1982,13
Libya,全癌死亡率,1982,8
Liechtenstein,全癌死亡率,1982,11
Lithuania,全癌死亡率,1982,7
Luxembourg,全癌死亡率,1982,4
"Macao SAR, China",全癌死亡率,1982,6
"Macedonia, FYR",全癌死亡率,1982,5
Maldives,全癌死亡率,1982,3
Marshall Islands,全癌死亡率,1982,3
"Micronesia, Fed. Sts.",全癌死亡率,1982,4
Moldova,全癌死亡率,1982,6
Monaco,全癌死亡率,1982,8
Montenegro,全癌死亡率,1982,14
Myanmar,全癌死亡率,1982,7
Nauru,全癌死亡率,1982,4
New Caledonia,全癌死亡率,1982,5
Nicaragua,全癌死亡率,1982,6
Northern Mariana Islands,全癌死亡率,1982,11
Palau,全癌死亡率,1982,9
Paraguay,全癌死亡率,1982,4
Peru,全癌死亡率,1982,9
Poland,全癌死亡率,1982,10
Portugal,全癌死亡率,1982,9
Qatar,全癌死亡率,1982,5
Russian Federation,全癌死亡率,1982,8
Samoa,全癌死亡率,1982,12
San Marino,全癌死亡率,1982,12
Sao Tome and Principe,全癌死亡率,1982,7
Serbia,全癌死亡率,1982,13
Sint Maarten (Dutch part),全癌死亡率,1982,5
Slovak Republic,全癌死亡率,1982,13
Slovenia,全癌死亡率,1982,7
Solomon Islands,全癌死亡率,1982,5
South Sudan,全癌死亡率,1982,11
Spain,全癌死亡率,1982,10
Sri Lanka,全癌死亡率,1982,5
St. Martin (French part),全癌死亡率,1982,11
Switzerland,全癌死亡率,1982,11
Syrian Arab Republic,全癌死亡率,1982,8
Tajikistan,全癌死亡率,1982,7
Tanzania,全癌死亡率,1982,14
Timor-Leste,全癌死亡率,1982,7
Trinidad and Tobago,全癌死亡率,1982,9
Turkmenistan,全癌死亡率,1982,6
Turks and Caicos Islands,全癌死亡率,1982,6
Tuvalu,全癌死亡率,1982,9
Ukraine,全癌死亡率,1982,14
United Arab Emirates,全癌死亡率,1982,15
United Kingdom,全癌死亡率,1982,8
United States,全癌死亡率,1982,11
Uruguay,全癌死亡率,1982,6
Uzbekistan,全癌死亡率,1982,8
Vietnam,全癌死亡率,1982,3
Virgin Islands,全癌死亡率,1982,3
West Bank and Gaza,全癌死亡率,1982,4
"Yemen, Rep.",全癌死亡率,1982,3
Arab World,全癌死亡率,1987,9
Central Europe and the Baltics,全癌死亡率,1987,4
Euro area,全癌死亡率,1987,5
Europe & Central Asia,全癌死亡率,1987,15
Europe & Central Asia (excluding high income),全癌死亡率,1987,5
Europe & Central Asia (IDA & IBRD countries),全癌死亡率,1987,11
European Union,全癌死亡率,1987,7
Fragile and conflict affected situations,全癌死亡率,1987,15
High income,全癌死亡率,1987,15
Middle East & North Africa,全癌死亡率,1987,6
North America,全癌死亡率,1987,6
Not classified,全癌死亡率,1987,9
OECD members,全癌死亡率,1987,13
Other small states,全癌死亡率,1987,12
Post-demographic dividend,全癌死亡率,1987,13
Small states,全癌死亡率,1987,11
World,全癌死亡率,1987,8
Afghanistan,全癌死亡率,1987,12
American Samoa,全癌死亡率,1987,14
Andorra,全癌死亡率,1987,13
Armenia,全癌死亡率,1987,9
Aruba,全癌死亡率,1987,10
Azerbaijan,全癌死亡率,1987,11
Barbados,全癌死亡率,1987,9
Belarus,全癌死亡率,1987,14
Belgium,全癌死亡率,1987,14
Bermuda,全癌死亡率,1987,7
Bosnia and Herzegovina,全癌死亡率,1987,4
British Virgin Islands,全癌死亡率,1987,6
Cambodia,全癌死亡率,1987,3
Canada,全癌死亡率,1987,3
Cayman Islands,全癌死亡率,1987,9
Channel Islands,全癌死亡率,1987,8
Croatia,全癌死亡率,1987,11
Curacao,全癌死亡率,1987,4
Czech Republic,全癌死亡率,1987,6
Denmark,全癌死亡率,1987,11
Djibouti,全癌死亡率,1987,7
El Salvador,全癌死亡率,1987,12
Equatorial Guinea,全癌死亡率,1987,10
Eritrea,全癌死亡率,1987,4
Estonia,全癌死亡率,1987,10
Faroe Islands,全癌死亡率,1987,6
French Polynesia,全癌死亡率,1987,12
Gabon,全癌死亡率,1987,13
"Gambia, The",全癌死亡率,1987,11
Germany,全癌死亡率,1987,8
Gibraltar,全癌死亡率,1987,12
Greece,全癌死亡率,1987,8
Greenland,全癌死亡率,1987,5
Guam,全癌死亡率,1987,15
Guatemala,全癌死亡率,1987,7
Haiti,全癌死亡率,1987,14
"Hong Kong SAR, China",全癌死亡率,1987,7
Hungary,全癌死亡率,1987,7
Iceland,全癌死亡率,1987,10
Iraq,全癌死亡率,1987,15
Ireland,全癌死亡率,1987,13
Isle of Man,全癌死亡率,1987,9
Israel,全癌死亡率,1987,3
Italy,全癌死亡率,1987,11
Jamaica,全癌死亡率,1987,4
Kazakhstan,全癌死亡率,1987,10
